Volume 21   Number  16,"",19th Precinct 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,-100.0 
Rape,0,0,***.*,0,0,***.*,3,1,200.0,-57.1,50.0,-40.0 
Robbery,1,1,0.0,8,8,0.0,29,30,-3.3,-27.5,-35.6,-92.8 
Fel. Assault,1,2,-50.0,6,8,-25.0,29,25,16.0,0.0,31.8,-67.4 
Burglary,4,5,-20.0,8,19,-57.9,66,51,29.4,0.0,-18.5,-92.0 
Gr. Larceny,25,26,-3.8,97,109,-11.0,370,481,-23.1,-14.0,-10.6,-67.4 
G.L.A.,2,3,-33.3,3,4,-25.0,16,15,6.7,-23.8,100.0,-98.5 
TOTAL,33,37,-10.81,122,148,-17.57,513,603,-14.93,-13.49,-10.31,-85.44 
Transit,0,0,***.*,2,3,-33.3,8,10,-20.0,60.0,-27.3,***.* 
Housing,0,0,***.*,2,2,0.0,8,7,14.3,0.0,-27.3,***.* 
Petit Larceny,23,27,-14.8,91,124,-26.6,408,476,-14.3,-13.2,-14.6,***.* 
Misd. Assault,5,5,0.0,22,15,46.7,81,81,0.0,-11.0,-3.6,***.* 
Misd. Sex Crimes,2,0,***.*,6,0,***.*,15,8,87.5,25.0,-25.0,***.* 
Shooting Vic.,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,-100.0 
Shooting Inc.,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,-100.0
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,9,5,6,1,"",***.*,***.*,***.*,***.*,Murder 
Rape,27,30,17,9,6,-33.3,-64.7,-80.0,-77.8,Rape 
Robbery,"1,904","1,378",459,359,104,-71.0,-77.3,-92.5,-94.5,Robbery 
Fel. Assault,312,295,185,127,97,-23.6,-47.6,-67.1,-68.9,Fel. Assault 
Burglary,"3,695","3,019","1,028",701,252,-64.1,-75.5,-91.7,-93.2,Burglary 
Gr. Larceny,"5,406","3,792","2,167","2,208","1,548",-29.9,-28.6,-59.2,-71.4,Gr. Larceny 
G.L.A.,"3,338","3,457",997,320,57,-82.2,-94.3,-98.4,-98.3,G.L.A. 
TOTAL,"14,691","11,976","4,859","3,725","2,064",-44.59,-57.52,-82.77,-85.95,TOTAL
