Volume 21   Number  16,"",75th Precinct 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,0,1,-100.0,1,2,-50.0,4,4,0.0,0.0,-20.0,-89.5 
Rape,1,0,***.*,3,5,-40.0,19,15,26.7,-17.4,26.7,-26.9 
Robbery,13,21,-38.1,57,72,-20.8,228,260,-12.3,-0.9,40.7,-72.9 
Fel. Assault,20,19,5.3,66,68,-2.9,247,231,6.9,-4.3,23.5,-39.8 
Burglary,10,14,-28.6,38,57,-33.3,143,175,-18.3,-2.7,18.2,-72.8 
Gr. Larceny,17,14,21.4,65,76,-14.5,296,261,13.4,14.3,53.4,24.9 
G.L.A.,3,5,-40.0,10,17,-41.2,100,67,49.3,56.2,11.1,-88.9 
TOTAL,64,74,-13.51,240,297,-19.19,"1,037","1,013",2.37,5.28,31.93,-65.15 
Transit,0,1,-100.0,2,9,-77.8,18,23,-21.7,-50.0,-14.3,***.* 
Housing,8,7,14.3,17,26,-34.6,66,72,-8.3,10.0,17.9,***.* 
Petit Larceny,39,31,25.8,134,99,35.4,588,396,48.5,22.5,28.7,***.* 
Misd. Assault,32,42,-23.8,151,156,-3.2,508,505,0.6,7.6,10.0,***.* 
Misd. Sex Crimes,1,2,-50.0,6,6,0.0,23,21,9.5,-36.1,-30.3,***.* 
Shooting Vic.,0,2,-100.0,4,7,-42.9,12,13,-7.7,-42.9,-36.8,-89.7 
Shooting Inc.,0,2,-100.0,3,7,-57.1,11,13,-15.4,-45.0,-38.9,-89.7
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,109,126,41,35,18,-48.6,-56.1,-85.7,-83.5,Murder 
Rape,133,122,112,89,61,-31.5,-45.5,-50.0,-54.1,Rape 
Robbery,"3,452","3,152","1,628","1,146",909,-20.7,-44.2,-71.2,-73.7,Robbery 
Fel. Assault,"1,789","1,474","1,068","1,053",944,-10.4,-11.6,-36.0,-47.2,Fel. Assault 
Burglary,"2,433","1,854","1,170",568,638,12.3,-45.5,-65.6,-73.8,Burglary 
Gr. Larceny,"1,286",965,651,737,"1,041",41.2,59.9,7.9,-19.1,Gr. Larceny 
G.L.A.,"3,071","2,662","1,020",845,291,-65.6,-71.5,-89.1,-90.5,G.L.A. 
TOTAL,"12,273","10,355","5,690","4,473","3,902",-12.77,-31.42,-62.32,-68.21,TOTAL
