Volume 21   Number  16,"",101st Precinct 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,0,0,***.*,1,0,***.*,3,1,200.0,50.0,200.0,-25.0 
Rape,0,0,***.*,2,3,-33.3,5,6,-16.7,-28.6,-28.6,-28.6 
Robbery,2,3,-33.3,10,15,-33.3,39,43,-9.3,18.2,50.0,-77.6 
Fel. Assault,5,1,400.0,16,9,77.8,63,45,40.0,23.5,46.5,-44.2 
Burglary,2,3,-33.3,11,16,-31.2,42,80,-47.5,40.0,55.6,-78.7 
Gr. Larceny,2,3,-33.3,11,9,22.2,49,30,63.3,-12.5,44.1,-39.5 
G.L.A.,0,2,-100.0,4,5,-20.0,25,10,150.0,150.0,150.0,-85.0 
TOTAL,11,12,-8.33,55,57,-3.51,226,215,5.12,19.58,52.70,-69.58 
Transit,0,0,***.*,0,0,***.*,1,4,-75.0,-80.0,-75.0,***.* 
Housing,1,0,***.*,7,5,40.0,28,15,86.7,100.0,86.7,***.* 
Petit Larceny,6,8,-25.0,31,31,0.0,155,144,7.6,46.2,52.0,***.* 
Misd. Assault,13,16,-18.8,44,37,18.9,128,124,3.2,4.9,26.7,***.* 
Misd. Sex Crimes,1,0,***.*,4,0,***.*,7,2,250.0,75.0,-22.2,***.* 
Shooting Vic.,0,0,***.*,1,0,***.*,3,1,200.0,0.0,0.0,-76.9 
Shooting Inc.,0,0,***.*,1,0,***.*,3,1,200.0,0.0,0.0,-76.9
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,14,16,9,6,3,-50.0,-66.7,-81.2,-78.6,Murder 
Rape,67,42,32,17,19,11.8,-40.6,-54.8,-71.6,Rape 
Robbery,826,710,413,247,148,-40.1,-64.2,-79.2,-82.1,Robbery 
Fel. Assault,588,524,418,301,212,-29.6,-49.3,-59.5,-63.9,Fel. Assault 
Burglary,825,768,370,216,227,5.1,-38.6,-70.4,-72.5,Burglary 
Gr. Larceny,362,330,203,189,182,-3.7,-10.3,-44.8,-49.7,Gr. Larceny 
G.L.A.,719,460,184,158,61,-61.4,-66.8,-86.7,-91.5,G.L.A. 
TOTAL,"3,401","2,850","1,629","1,134",852,-24.87,-47.70,-70.11,-74.95,TOTAL
