Volume 21   Number  16,"",Brooklyn South 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,1,3,-66.7,4,7,-42.9,13,26,-50.0,-27.8,-45.8,-80.0 
Rape,1,6,-83.3,21,19,10.5,52,65,-20.0,2.0,44.4,-67.3 
Robbery,42,58,-27.6,192,201,-4.5,777,822,-5.5,-8.6,-0.8,-81.9 
Fel. Assault,35,56,-37.5,214,199,7.5,857,772,11.0,12.0,34.5,-52.3 
Burglary,34,60,-43.3,179,235,-23.8,818,960,-14.8,-16.4,-5.0,-85.7 
Gr. Larceny,112,154,-27.3,428,510,-16.1,"1,715","1,914",-10.4,-7.0,8.3,-31.5 
G.L.A.,26,25,4.0,85,86,-1.2,311,318,-2.2,-15.5,-44.1,-95.8 
TOTAL,251,362,-30.66,"1,123","1,257",-10.66,"4,543","4,877",-6.85,-6.81,1.41,-79.21 
Transit,1,5,-80.0,13,29,-55.2,69,109,-36.7,-43.4,19.0,***.* 
Housing,8,13,-38.5,37,38,-2.6,153,142,7.7,16.8,75.9,***.* 
Petit Larceny,230,254,-9.4,857,875,-2.1,"3,258","3,348",-2.7,-9.1,-8.5,***.* 
Misd. Assault,82,120,-31.7,429,432,-0.7,"1,677","1,702",-1.5,-10.0,-12.6,***.* 
Misd. Sex Crimes,10,8,25.0,43,32,34.4,124,117,6.0,-25.7,-21.0,***.* 
Shooting Vic.,6,4,50.0,13,13,0.0,57,65,-12.3,-10.9,-14.9,-73.5 
Shooting Inc.,4,3,33.3,9,11,-18.2,46,49,-6.1,-16.4,-13.2,-76.0
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,260,247,104,90,62,-31.1,-40.4,-74.9,-76.2,Murder 
Rape,446,548,430,353,218,-38.2,-49.3,-60.2,-51.1,Rape 
Robbery,"15,832","13,971","6,909","5,183","3,145",-39.3,-54.5,-77.5,-80.1,Robbery 
Fel. Assault,"6,359","6,653","5,033","3,718","2,931",-21.2,-41.8,-55.9,-53.9,Fel. Assault 
Burglary,"24,308","18,786","9,598","6,690","3,172",-52.6,-67.0,-83.1,-87.0,Burglary 
Gr. Larceny,"10,688","8,939","6,696","5,888","6,947",18.0,3.7,-22.3,-35.0,Gr. Larceny 
G.L.A.,"32,462","23,203","8,852","5,773","1,341",-76.8,-84.9,-94.2,-95.9,G.L.A. 
TOTAL,"90,355","72,347","37,622","27,695","17,816",-35.67,-52.64,-75.37,-80.28,TOTAL
