Volume 21   Number  16,"",Queens South 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,2,2,0.0,5,4,25.0,15,14,7.1,-6.2,50.0,-69.4 
Rape,1,3,-66.7,8,17,-52.9,44,46,-4.3,-18.5,-6.4,-56.9 
Robbery,24,44,-45.5,108,152,-28.9,475,653,-27.3,-19.2,-11.0,-79.0 
Fel. Assault,39,39,0.0,146,147,-0.7,582,578,0.7,4.1,29.3,-40.4 
Burglary,31,55,-43.6,147,194,-24.2,550,782,-29.7,-13.7,-5.2,-79.1 
Gr. Larceny,50,58,-13.8,222,210,5.7,930,865,7.5,-10.1,16.5,-53.5 
G.L.A.,28,24,16.7,107,80,33.8,384,306,25.5,-7.2,-11.5,-93.4 
TOTAL,175,225,-22.22,743,804,-7.59,"2,980","3,244",-8.14,-9.75,4.45,-78.42 
Transit,2,3,-33.3,6,6,0.0,40,36,11.1,17.6,60.0,***.* 
Housing,8,1,700.0,17,18,-5.6,66,50,32.0,20.0,73.7,***.* 
Petit Larceny,122,121,0.8,473,446,6.1,"1,778","1,684",5.6,2.2,-1.4,***.* 
Misd. Assault,94,99,-5.1,353,320,10.3,"1,264","1,204",5.0,4.9,0.3,***.* 
Misd. Sex Crimes,4,2,100.0,15,13,15.4,57,56,1.8,1.8,-12.3,***.* 
Shooting Vic.,4,1,300.0,14,6,133.3,35,33,6.1,-41.7,-14.6,-77.7 
Shooting Inc.,3,1,200.0,12,6,100.0,30,29,3.4,-42.3,-9.1,-78.9
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,161,152,57,55,38,-30.9,-33.3,-75.0,-76.4,Murder 
Rape,341,347,299,192,145,-24.5,-51.5,-58.2,-57.5,Rape 
Robbery,"8,056","8,157","4,147","2,768","2,235",-19.3,-46.1,-72.6,-72.3,Robbery 
Fel. Assault,"3,941","3,765","3,022","2,233","2,218",-0.7,-26.6,-41.1,-43.7,Fel. Assault 
Burglary,"11,976","9,314","5,139","3,542","2,421",-31.6,-52.9,-74.0,-79.8,Burglary 
Gr. Larceny,"7,856","8,107","3,981","3,512","3,528",0.5,-11.4,-56.5,-55.1,Gr. Larceny 
G.L.A.,"21,758","19,371","7,260","4,517","1,270",-71.9,-82.5,-93.4,-94.2,G.L.A. 
TOTAL,"54,089","49,213","23,905","16,819","11,855",-29.51,-50.41,-75.91,-78.08,TOTAL
