Volume 21   Number  16,"",1st Precinct 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,-100.0 
Rape,1,1,0.0,2,3,-33.3,4,6,-33.3,100.0,300.0,33.3 
Robbery,3,0,***.*,5,2,150.0,13,16,-18.8,-38.1,-62.9,-95.3 
Fel. Assault,1,0,***.*,5,2,150.0,22,21,4.8,15.8,-18.5,-60.0 
Burglary,0,5,-100.0,8,17,-52.9,45,64,-29.7,-8.2,-18.2,-82.8 
Gr. Larceny,19,26,-26.9,63,91,-30.8,258,328,-21.3,-10.4,-25.6,-74.7 
G.L.A.,0,1,-100.0,1,2,-50.0,2,9,-77.8,-80.0,-85.7,-99.2 
TOTAL,24,33,-27.27,84,117,-28.21,344,444,-22.52,-11.57,-28.18,-81.64 
Transit,1,4,-75.0,5,6,-16.7,21,19,10.5,-16.0,10.5,***.* 
Housing,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.* 
Petit Larceny,46,47,-2.1,125,143,-12.6,480,509,-5.7,-23.3,-13.0,***.* 
Misd. Assault,1,5,-80.0,10,21,-52.4,79,84,-6.0,14.5,19.7,***.* 
Misd. Sex Crimes,0,1,-100.0,3,2,50.0,12,11,9.1,-20.0,100.0,***.* 
Shooting Vic.,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,-100.0 
Shooting Inc.,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,-100.0
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,8,11,1,1,"",***.*,***.*,***.*,***.*,Murder 
Rape,13,11,7,5,12,140.0,71.4,9.1,-7.7,Rape 
Robbery,"1,281",869,334,192,68,-64.6,-79.6,-92.2,-94.7,Robbery 
Fel. Assault,350,186,166,167,87,-47.9,-47.6,-53.2,-75.1,Fel. Assault 
Burglary,"1,486",911,571,426,171,-59.9,-70.1,-81.2,-88.5,Burglary 
Gr. Larceny,"5,554","3,872","2,749","2,100","1,051",-50.0,-61.8,-72.9,-81.1,Gr. Larceny 
G.L.A.,"1,191",897,308,157,27,-82.8,-91.2,-97.0,-97.7,G.L.A. 
TOTAL,"9,883","6,757","4,136","3,048","1,416",-53.54,-65.76,-79.04,-85.67,TOTAL
