Volume 21   Number  16,"",41st Precinct 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,0,0,***.*,0,0,***.*,0,0,***.*,-100.0,-100.0,-100.0 
Rape,0,1,-100.0,0,3,-100.0,2,6,-66.7,-50.0,-33.3,-77.8 
Robbery,3,4,-25.0,16,15,6.7,74,71,4.2,-15.9,1.4,-69.3 
Fel. Assault,5,14,-64.3,33,45,-26.7,275,190,44.7,120.0,125.4,131.1 
Burglary,6,4,50.0,12,14,-14.3,51,46,10.9,-7.3,-19.0,-79.4 
Gr. Larceny,7,7,0.0,27,23,17.4,95,100,-5.0,-5.0,46.2,-5.0 
G.L.A.,2,3,-33.3,4,6,-33.3,18,23,-21.7,63.6,-40.0,-82.7 
TOTAL,23,33,-30.30,92,106,-13.21,515,436,18.12,33.42,44.26,-37.95 
Transit,1,0,***.*,2,1,100.0,8,12,-33.3,-52.9,-38.5,***.* 
Housing,0,0,***.*,0,0,***.*,8,4,100.0,166.7,0.0,***.* 
Petit Larceny,19,15,26.7,68,54,25.9,211,192,9.9,2.4,11.6,***.* 
Misd. Assault,14,14,0.0,61,43,41.9,202,199,1.5,7.4,11.0,***.* 
Misd. Sex Crimes,0,0,***.*,3,1,200.0,10,9,11.1,0.0,25.0,***.* 
Shooting Vic.,0,1,-100.0,0,1,-100.0,2,4,-50.0,-75.0,-77.8,-91.3 
Shooting Inc.,0,1,-100.0,0,1,-100.0,2,3,-33.3,-60.0,-75.0,-90.9
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,44,42,8,12,2,-83.3,-75.0,-95.2,-95.5,Murder 
Rape,29,32,26,18,17,-5.6,-34.6,-46.9,-41.4,Rape 
Robbery,"1,095",858,314,239,328,37.2,4.5,-61.8,-70.0,Robbery 
Fel. Assault,549,512,801,548,732,33.6,-8.6,43.0,33.3,Fel. Assault 
Burglary,"1,107","1,055",279,224,202,-9.8,-27.6,-80.9,-81.8,Burglary 
Gr. Larceny,459,446,179,175,403,130.3,125.1,-9.6,-12.2,Gr. Larceny 
G.L.A.,660,437,142,181,76,-58.0,-46.5,-82.6,-88.5,G.L.A. 
TOTAL,"3,943","3,382","1,749","1,397","1,760",25.98,0.63,-47.96,-55.36,TOTAL
