Volume 21   Number  16,"",Brooklyn North 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,2,1,100.0,7,5,40.0,18,20,-10.0,-47.1,-35.7,-86.9 
Rape,4,3,33.3,18,21,-14.3,65,66,-1.5,-8.5,27.5,-63.9 
Robbery,55,82,-32.9,231,242,-4.5,923,991,-6.9,-19.2,5.0,-80.8 
Fel. Assault,69,63,9.5,260,249,4.4,978,991,-1.3,-5.4,25.1,-57.6 
Burglary,53,36,47.2,192,169,13.6,818,677,20.8,-12.7,-2.5,-75.8 
Gr. Larceny,104,106,-1.9,411,383,7.3,1518,1400,8.4,9.9,40.3,-15.9 
G.L.A.,26,26,0.0,77,75,2.7,384,266,44.4,13.3,0.0,-87.2 
TOTAL,313,317,-1.26,1196,1144,4.55,4704,4411,6.64,-4.76,16.29,-69.88 
Transit,10,10,0.0,38,41,-7.3,146,144,1.4,-25.1,30.4,***.* 
Housing,33,24,37.5,118,105,12.4,441,399,10.5,11.9,47.0,***.* 
Petit Larceny,171,183,-6.6,722,704,2.6,2898,2668,8.6,0.2,11.6,***.* 
Misd. Assault,126,148,-14.9,596,617,-3.4,2117,2088,1.4,-3.1,3.7,***.* 
Misd. Sex Crimes,7,7,0.0,31,23,34.8,97,107,-9.3,-41.2,-25.4,***.* 
Shooting Vic.,7,6,16.7,28,18,55.6,84,77,9.1,-8.7,-7.7,-84.8 
Shooting Inc.,6,6,0.0,22,18,22.2,74,70,5.7,-12.9,-9.8,-85.3
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,505,474,135,166,85,-48.8,-37.0,-82.1,-83.2,Murder 
Rape,708,594,459,365,247,-32.3,-46.2,-58.4,-65.1,Rape 
Robbery,"20,509","16,845","7,060","5,257","3,692",-29.8,-47.7,-78.1,-82.0,Robbery 
Fel. Assault,"9,978","8,390","5,221","4,569","3,922",-14.2,-24.9,-53.3,-60.7,Fel. Assault 
Burglary,"14,993","12,111","5,485","4,264","2,843",-33.3,-48.2,-76.5,-81.0,Burglary 
Gr. Larceny,"8,788","6,928","3,689","3,939","5,771",46.5,56.4,-16.7,-34.3,Gr. Larceny 
G.L.A.,"12,552","9,578","3,801","3,413","1,243",-63.6,-67.3,-87.0,-90.1,G.L.A. 
TOTAL,"68,033","54,920","25,850","21,973","17,803",-18.98,-31.13,-67.58,-73.83,TOTAL
