Volume 21   Number  16,"",Manhattan North 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,0,0,***.*,1,0,***.*,7,5,40.0,-30.0,-30.0,-92.7 
Rape,5,5,0.0,11,14,-21.4,52,57,-8.8,-24.6,18.2,-63.6 
Robbery,28,39,-28.2,108,144,-25.0,514,595,-13.6,-17.1,-19.4,-81.2 
Fel. Assault,33,39,-15.4,155,166,-6.6,538,526,2.3,-6.3,17.5,-65.2 
Burglary,28,28,0.0,76,94,-19.1,376,374,0.5,-12.6,-2.8,-88.4 
Gr. Larceny,89,107,-16.8,361,386,-6.5,1478,1571,-5.9,3.7,8.7,-54.4 
G.L.A.,12,10,20.0,32,31,3.2,106,111,-4.5,-2.8,-39.8,-96.3 
TOTAL,195,228,-14.47,744,835,-10.90,3071,3239,-5.19,-5.13,-0.07,-77.92 
Transit,1,3,-66.7,15,18,-16.7,77,90,-14.4,-15.4,-12.5,***.* 
Housing,18,15,20.0,65,84,-22.6,260,292,-11.0,-12.2,16.6,***.* 
Petit Larceny,153,174,-12.1,618,686,-9.9,2545,2689,-5.4,-9.6,-1.0,***.* 
Misd. Assault,81,101,-19.8,366,346,5.8,1355,1369,-1.0,-5.4,-4.3,***.* 
Misd. Sex Crimes,5,8,-37.5,24,19,26.3,93,85,9.4,-3.1,1.1,***.* 
Shooting Vic.,3,3,0.0,9,5,80.0,22,25,-12.0,-43.6,-29.0,-90.4 
Shooting Inc.,3,2,50.0,8,4,100.0,21,22,-4.5,-38.2,-16.0,-90.1
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,379,306,78,78,27,-65.4,-65.4,-91.2,-92.9,Murder 
Rape,482,510,315,226,182,-19.5,-42.2,-64.3,-62.2,Rape 
Robbery,"12,041","9,730","4,603","3,343","2,151",-35.7,-53.3,-77.9,-82.1,Robbery 
Fel. Assault,"6,092","5,796","3,824","2,911","2,051",-29.5,-46.4,-64.6,-66.3,Fel. Assault 
Burglary,"14,267","11,441","4,879","2,818","1,362",-51.7,-72.1,-88.1,-90.5,Burglary 
Gr. Larceny,"13,799","11,055","5,824","5,430","5,654",4.1,-2.9,-48.9,-59.0,Gr. Larceny 
G.L.A.,"12,028","9,418","3,143","1,997",433,-78.3,-86.2,-95.4,-96.4,G.L.A. 
TOTAL,"59,088","48,256","22,666","16,803","11,860",-29.42,-47.67,-75.42,-79.93,TOTAL
